plot,nurse,sp,replica,target,media_rii,media_imp
159,imburana,Commiphora_leptophloeos,5,Myracrodruon_urundeuva,-0.002224596,-0.04434664
34,ipe,Handroanthus_impetiginosus,1,Myracrodruon_urundeuva,0.01452179,-0.04711901
55,ipe,Handroanthus_impetiginosus,2,Myracrodruon_urundeuva,-0.077305063,-0.21075432
112,ipe,Handroanthus_impetiginosus,3,Myracrodruon_urundeuva,0.06906789,0.06652083
118,ipe,Handroanthus_impetiginosus,4,Myracrodruon_urundeuva,-0.07260983,-0.12771032
132,ipe,Handroanthus_impetiginosus,5,Myracrodruon_urundeuva,0.114384019,0.10880471
19,jubranca,Piptadenia_stipulacea,1,Myracrodruon_urundeuva,-0.08150422,-0.16230193
46,jubranca,Piptadenia_stipulacea,2,Myracrodruon_urundeuva,0.099516437,0.08186887
56,jubranca,Piptadenia_stipulacea,3,Myracrodruon_urundeuva,0.36821654,0.16805801
68,jubranca,Piptadenia_stipulacea,4,Myracrodruon_urundeuva,0.101940252,-0.08775598
70,jubranca,Piptadenia_stipulacea,5,Myracrodruon_urundeuva,-0.099028902,-0.24718266
130,juca,Libidibia_ferrea,1,Myracrodruon_urundeuva,-0.14725397,-0.2439426
136,juca,Libidibia_ferrea,2,Myracrodruon_urundeuva,-0.139130358,-0.30462364
139,juca,Libidibia_ferrea,3,Myracrodruon_urundeuva,-0.08109342,-0.24531583
145,juca,Libidibia_ferrea,4,Myracrodruon_urundeuva,-0.007501175,-0.02509483
148,juca,Libidibia_ferrea,5,Myracrodruon_urundeuva,-0.076275517,-0.13819738
20,jupreta,Mimosa_tenuiflora,1,Myracrodruon_urundeuva,0.02549577,0.0076419
22,jupreta,Mimosa_tenuiflora,2,Myracrodruon_urundeuva,-0.014606654,-0.05809222
98,jupreta,Mimosa_tenuiflora,3,Myracrodruon_urundeuva,-0.01373183,-0.07515422
125,jupreta,Mimosa_tenuiflora,4,Myracrodruon_urundeuva,-0.083757392,-0.02424411
126,jupreta,Mimosa_tenuiflora,5,Myracrodruon_urundeuva,0.05280047,-0.0676001
25,marmeleiro,Croton_blanchetianus,1,Myracrodruon_urundeuva,-0.10838874,-0.11359032
48,marmeleiro,Croton_blanchetianus,2,Myracrodruon_urundeuva,0.064265794,0.05742842
51,marmeleiro,Croton_blanchetianus,3,Myracrodruon_urundeuva,0.88789683,0.23839694
61,marmeleiro,Croton_blanchetianus,4,Myracrodruon_urundeuva,0.19210031,0.17366333
72,marmeleiro,Croton_blanchetianus,5,Myracrodruon_urundeuva,-0.110817322,0.06129332
60,mofumbo,Combretum_leprosum,1,Myracrodruon_urundeuva,0.61219041,0.08507647
62,mofumbo,Combretum_leprosum,2,Myracrodruon_urundeuva,0.099700669,0.09905116
71,mofumbo,Combretum_leprosum,3,Myracrodruon_urundeuva,0.0048278,0.08203914
119,mofumbo,Combretum_leprosum,4,Myracrodruon_urundeuva,0.108965746,0.14955913
137,mofumbo,Combretum_leprosum,5,Myracrodruon_urundeuva,-0.598079878,-0.17551667
69,mororo,Bauhinia_cheilantha,1,Myracrodruon_urundeuva,0.04008199,0.0220438
79,mororo,Bauhinia_cheilantha,2,Myracrodruon_urundeuva,0.005231313,0.0458337
84,mororo,Bauhinia_cheilantha,3,Myracrodruon_urundeuva,-0.05517659,-0.14142219
93,mororo,Bauhinia_cheilantha,4,Myracrodruon_urundeuva,0.060475713,-0.05335255
152,mororo,Bauhinia_cheilantha,5,Myracrodruon_urundeuva,-0.188172889,-0.02464758
28,paubranco,Cordia_glazioviana,1,Myracrodruon_urundeuva,0.07537577,0.10812855
33,paubranco,Cordia_glazioviana,2,Myracrodruon_urundeuva,-0.842970143,-0.33236641
52,paubranco,Cordia_glazioviana,3,Myracrodruon_urundeuva,-0.16587272,-0.2143018
110,paubranco,Cordia_glazioviana,4,Myracrodruon_urundeuva,-0.148696795,-0.07332122
146,paubranco,Cordia_glazioviana,5,Myracrodruon_urundeuva,0.815039391,0.20962804
66,pereiro,Aspidosperma_pyrifolium,1,Myracrodruon_urundeuva,0.08759891,0.05970777
82,pereiro,Aspidosperma_pyrifolium,2,Myracrodruon_urundeuva,0.146360165,-0.18484042
101,pereiro,Aspidosperma_pyrifolium,3,Myracrodruon_urundeuva,-0.04808952,-0.12132139
129,pereiro,Aspidosperma_pyrifolium,4,Myracrodruon_urundeuva,0.065416577,0.00350581
147,pereiro,Aspidosperma_pyrifolium,5,Myracrodruon_urundeuva,0.146510658,0.2037071
32,umbu,Spondias_tuberosa,1,Myracrodruon_urundeuva,0.01297193,-0.13193246
115,umbu,Spondias_tuberosa,2,Myracrodruon_urundeuva,-0.208687692,-0.35479041
141,umbu,Spondias_tuberosa,3,Myracrodruon_urundeuva,-0.095638,-0.28086295
143,umbu,Spondias_tuberosa,4,Myracrodruon_urundeuva,0.075843288,0.10405067
158,umbu,Spondias_tuberosa,5,Myracrodruon_urundeuva,0.025476072,0.03976817
113,algodao,Cochlospermum_vitifolium,1,Poincianella_gardneriana,0.081987427,0.06081703
122,algodao,Cochlospermum_vitifolium,2,Poincianella_gardneriana,-0.034926334,-0.06677296
123,algodao,Cochlospermum_vitifolium,3,Poincianella_gardneriana,0.04509511,0.04161044
156,algodao,Cochlospermum_vitifolium,4,Poincianella_gardneriana,-0.045442491,-0.05676229
157,algodao,Cochlospermum_vitifolium,5,Poincianella_gardneriana,-0.02685573,0.01582846
38,angico,Anadenanthera_colubrina,1,Poincianella_gardneriana,-0.08691365,-0.03291444
58,angico,Anadenanthera_colubrina,2,Poincianella_gardneriana,-0.023208697,0.00005778
85,angico,Anadenanthera_colubrina,3,Poincianella_gardneriana,0.22421438,0.05088191
111,angico,Anadenanthera_colubrina,4,Poincianella_gardneriana,-0.198414618,-0.16979465
144,angico,Anadenanthera_colubrina,5,Poincianella_gardneriana,0.22290264,0.14151957
41,burra,Sebastiania_macrocarpa,1,Poincianella_gardneriana,0.228102343,0.12908111
81,burra,Sebastiania_macrocarpa,2,Poincianella_gardneriana,0.002046936,-0.03396052
88,burra,Sebastiania_macrocarpa,3,Poincianella_gardneriana,0.13887595,0.03730344
102,burra,Sebastiania_macrocarpa,4,Poincianella_gardneriana,-0.030881639,-0.06701621
128,burra,Sebastiania_macrocarpa,5,Poincianella_gardneriana,0.1344154,0.08783999
30,catanduva,Pityrocarpa_moniliformis,1,Poincianella_gardneriana,0.439083294,0.1144051
43,catanduva,Pityrocarpa_moniliformis,2,Poincianella_gardneriana,0.070835745,0.0047194
65,catanduva,Pityrocarpa_moniliformis,3,Poincianella_gardneriana,0.1592643,0.00790034
108,catanduva,Pityrocarpa_moniliformis,4,Poincianella_gardneriana,0.435659238,0.13729268
131,catanduva,Pityrocarpa_moniliformis,5,Poincianella_gardneriana,-0.01558198,-0.02756951
21,catingueira,Poincianella_gardneriana,1,Poincianella_gardneriana,-0.095151642,-0.08524427
35,catingueira,Poincianella_gardneriana,2,Poincianella_gardneriana,-0.132432577,-0.19168844
64,catingueira,Poincianella_gardneriana,3,Poincianella_gardneriana,-0.15047513,-0.08003173
95,catingueira,Poincianella_gardneriana,4,Poincianella_gardneriana,0.04537658,0.01864536
127,catingueira,Poincianella_gardneriana,5,Poincianella_gardneriana,-0.05379167,-0.06369614
23,cumaru,Amburana_cearensis,1,Poincianella_gardneriana,-0.161837616,-0.02569613
53,cumaru,Amburana_cearensis,2,Poincianella_gardneriana,-0.079264149,-0.06980101
97,cumaru,Amburana_cearensis,3,Poincianella_gardneriana,0.23179519,0.08078472
100,cumaru,Amburana_cearensis,4,Poincianella_gardneriana,-0.07333418,-0.1328821
149,cumaru,Amburana_cearensis,5,Poincianella_gardneriana,0.04210181,0.02216672
124,favelinha,Erythroxylum_nummularia,1,Poincianella_gardneriana,0.003189914,0.00049825
138,favelinha,Erythroxylum_nummularia,2,Poincianella_gardneriana,-0.142721098,-0.27657878
153,favelinha,Erythroxylum_nummularia,3,Poincianella_gardneriana,0.21669165,0.00330061
154,favelinha,Erythroxylum_nummularia,4,Poincianella_gardneriana,0.154035308,0.09310977
155,favelinha,Erythroxylum_nummularia,5,Poincianella_gardneriana,0.1702939,0.06940916
24,feijao,Cynophalla_hastata,1,Poincianella_gardneriana,0.159006938,0.07788087
67,feijao,Cynophalla_hastata,2,Poincianella_gardneriana,0.238342533,0.15572479
75,feijao,Cynophalla_hastata,3,Poincianella_gardneriana,0.23918196,0.08466219
80,feijao,Cynophalla_hastata,4,Poincianella_gardneriana,-0.039464286,0.01289981
134,feijao,Cynophalla_hastata,5,Poincianella_gardneriana,0.16243961,0.04747077
27,imbiratanha,Pseudobombax_marginatum,1,Poincianella_gardneriana,-0.083486969,-0.08440392
73,imbiratanha,Pseudobombax_marginatum,2,Poincianella_gardneriana,0.266475785,0.13394662
78,imbiratanha,Pseudobombax_marginatum,3,Poincianella_gardneriana,0.1171937,-0.01558224
150,imbiratanha,Pseudobombax_marginatum,4,Poincianella_gardneriana,-0.084583767,-0.0489603
160,imbiratanha,Pseudobombax_marginatum,5,Poincianella_gardneriana,-0.13931796,-0.01878463
57,imburana,Commiphora_leptophloeos,1,Poincianella_gardneriana,-0.108424258,-0.14455348
74,imburana,Commiphora_leptophloeos,2,Poincianella_gardneriana,-0.295681114,0.02573011
76,imburana,Commiphora_leptophloeos,3,Poincianella_gardneriana,-0.03229153,-0.14708984
151,imburana,Commiphora_leptophloeos,4,Poincianella_gardneriana,0.25783483,0.13643694
159,imburana,Commiphora_leptophloeos,5,Poincianella_gardneriana,-0.27636887,-0.09647047
34,ipe,Handroanthus_impetiginosus,1,Poincianella_gardneriana,-0.065459553,-0.20135138
55,ipe,Handroanthus_impetiginosus,2,Poincianella_gardneriana,-0.057426028,-0.04112397
112,ipe,Handroanthus_impetiginosus,3,Poincianella_gardneriana,-0.03746766,0.03307383
118,ipe,Handroanthus_impetiginosus,4,Poincianella_gardneriana,0.004365079,0.00278115
132,ipe,Handroanthus_impetiginosus,5,Poincianella_gardneriana,0.09033927,0.02931993
19,jubranca,Piptadenia_stipulacea,1,Poincianella_gardneriana,-0.390651061,-0.07964907
46,jubranca,Piptadenia_stipulacea,2,Poincianella_gardneriana,0.045337594,0.05153574
56,jubranca,Piptadenia_stipulacea,3,Poincianella_gardneriana,-0.05534687,-0.02741522
68,jubranca,Piptadenia_stipulacea,4,Poincianella_gardneriana,0.336085937,0.05039088
70,jubranca,Piptadenia_stipulacea,5,Poincianella_gardneriana,0.07379808,-0.03972227
130,juca,Libidibia_ferrea,1,Poincianella_gardneriana,-0.155139662,-0.10123877
136,juca,Libidibia_ferrea,2,Poincianella_gardneriana,0.195005102,0.15339893
139,juca,Libidibia_ferrea,3,Poincianella_gardneriana,0.2220986,0.17597524
145,juca,Libidibia_ferrea,4,Poincianella_gardneriana,-0.23615829,-0.43723963
148,juca,Libidibia_ferrea,5,Poincianella_gardneriana,0.01541189,0.07014235
20,jupreta,Mimosa_tenuiflora,1,Poincianella_gardneriana,0.303058427,0.07968887
22,jupreta,Mimosa_tenuiflora,2,Poincianella_gardneriana,0.412908327,0.15542403
98,jupreta,Mimosa_tenuiflora,3,Poincianella_gardneriana,-0.34923713,-0.42548823
125,jupreta,Mimosa_tenuiflora,4,Poincianella_gardneriana,0.012884062,-0.06090327
126,jupreta,Mimosa_tenuiflora,5,Poincianella_gardneriana,0.14633309,0.10307284
25,marmeleiro,Croton_blanchetianus,1,Poincianella_gardneriana,0.02907392,-0.01116155
48,marmeleiro,Croton_blanchetianus,2,Poincianella_gardneriana,-0.082337185,-0.06109639
51,marmeleiro,Croton_blanchetianus,3,Poincianella_gardneriana,0.03264924,0.02071023
61,marmeleiro,Croton_blanchetianus,4,Poincianella_gardneriana,0.15966254,0.10103205
72,marmeleiro,Croton_blanchetianus,5,Poincianella_gardneriana,-0.15942351,-0.1709034
60,mofumbo,Combretum_leprosum,1,Poincianella_gardneriana,-0.125873352,0.03809738
62,mofumbo,Combretum_leprosum,2,Poincianella_gardneriana,0.084823828,-0.01369424
71,mofumbo,Combretum_leprosum,3,Poincianella_gardneriana,-0.01322045,-0.02254301
119,mofumbo,Combretum_leprosum,4,Poincianella_gardneriana,0.383396657,0.04863316
137,mofumbo,Combretum_leprosum,5,Poincianella_gardneriana,-0.02104074,-0.01148718
69,mororo,Bauhinia_cheilantha,1,Poincianella_gardneriana,0.100799991,0.06159653
79,mororo,Bauhinia_cheilantha,2,Poincianella_gardneriana,0.385439482,0.07923968
84,mororo,Bauhinia_cheilantha,3,Poincianella_gardneriana,-0.26431843,-0.09270797
93,mororo,Bauhinia_cheilantha,4,Poincianella_gardneriana,0.1421292,0.08559871
152,mororo,Bauhinia_cheilantha,5,Poincianella_gardneriana,-0.18627269,-0.0896471
28,paubranco,Cordia_glazioviana,1,Poincianella_gardneriana,0.069836398,0.04782905
33,paubranco,Cordia_glazioviana,2,Poincianella_gardneriana,-0.060489944,-0.01858494
52,paubranco,Cordia_glazioviana,3,Poincianella_gardneriana,0.27926726,0.17102456
110,paubranco,Cordia_glazioviana,4,Poincianella_gardneriana,-0.159406564,-0.0712666
146,paubranco,Cordia_glazioviana,5,Poincianella_gardneriana,-0.31121269,-0.10229041
66,pereiro,Aspidosperma_pyrifolium,1,Poincianella_gardneriana,0.203806928,0.04299669
82,pereiro,Aspidosperma_pyrifolium,2,Poincianella_gardneriana,0.037716173,-0.14038595
101,pereiro,Aspidosperma_pyrifolium,3,Poincianella_gardneriana,0.30883055,0.12310952
129,pereiro,Aspidosperma_pyrifolium,4,Poincianella_gardneriana,0.449616867,0.14603155
147,pereiro,Aspidosperma_pyrifolium,5,Poincianella_gardneriana,-0.15364442,-0.07403925
32,umbu,Spondias_tuberosa,1,Poincianella_gardneriana,0.052032354,-0.06329923
115,umbu,Spondias_tuberosa,2,Poincianella_gardneriana,0.137992084,-0.02101017
141,umbu,Spondias_tuberosa,3,Poincianella_gardneriana,0.09634928,0.05913958
143,umbu,Spondias_tuberosa,4,Poincianella_gardneriana,0.104552092,0.04158188
158,umbu,Spondias_tuberosa,5,Poincianella_gardneriana,-0.08859019,0.00772411
