nurse,target,rii,Mdiam_mad,Mvol_mad,Mpseco_mad,Mpeso_fresco_mad,Mpeso_sat_mad,Mthick_casca,Mvol_casca,Mpeso_seco_casca,Mpeso_fresco_casca,Mpeso_sat_casca,Mdens_mad,Mdens_casca,Mcap_arm_mad,Mcap_arm_casca,Mcont_agua_mad,Mcont_agua_casca,Mefet_agua_mad,Mefet_agua_casca
algodao,Anadenanthera_colubrina,0.0039715964,18.0333333333,5.5333333333,1.9066666667,3.9,4.7066666667,2.2333333333,1.3333333333,0.5033333333,1.4,1.6966666667,0.3524912559,0.3761904762,1.5000992182,2.3955026455,1.0676647546,1.7883597884,0.718072906,0.7398067714
algodao,Myracrodruon_urundeuva,0.0321255746,18.0333333333,5.5333333333,1.9066666667,3.9,4.7066666667,2.2333333333,1.3333333333,0.5033333333,1.4,1.6966666667,0.3524912559,0.3761904762,1.5000992182,2.3955026455,1.0676647546,1.7883597884,0.718072906,0.7398067714
algodao,Poincianella_gardneriana,0.0039715964,18.0333333333,5.5333333333,1.9066666667,3.9,4.7066666667,2.2333333333,1.3333333333,0.5033333333,1.4,1.6966666667,0.3524912559,0.3761904762,1.5000992182,2.3955026455,1.0676647546,1.7883597884,0.718072906,0.7398067714
angico,Anadenanthera_colubrina,0.027716011,19.1,4.9266666667,3.9666666667,5.3133333333,6.12,1.1666666667,0.59,0.44,0.7366666667,0.93,0.8045146661,0.7476551227,0.5520225082,1.1298424862,0.3364328214,0.6740775493,0.6218721492,0.5975178602
angico,Myracrodruon_urundeuva,-0.1450910534,19.1,4.9266666667,3.9666666667,5.3133333333,6.12,1.1666666667,0.59,0.44,0.7366666667,0.93,0.8045146661,0.7476551227,0.5520225082,1.1298424862,0.3364328214,0.6740775493,0.6218721492,0.5975178602
angico,Poincianella_gardneriana,0.027716011,19.1,4.9266666667,3.9666666667,5.3133333333,6.12,1.1666666667,0.59,0.44,0.7366666667,0.93,0.8045146661,0.7476551227,0.5520225082,1.1298424862,0.3364328214,0.6740775493,0.6218721492,0.5975178602
burra,Anadenanthera_colubrina,0.094511798,17.2666666667,6.6966666667,5.07,6.9766666667,7.2666666667,0.6333333333,0.4933333333,0.34,0.6,0.9966666667,0.7587369887,0.6736928105,0.4369158926,2.169729488,0.370129641,0.8537894031,0.8502037524,0.3994949495
burra,Myracrodruon_urundeuva,-0.0326703726,17.2666666667,6.6966666667,5.07,6.9766666667,7.2666666667,0.6333333333,0.4933333333,0.34,0.6,0.9966666667,0.7587369887,0.6736928105,0.4369158926,2.169729488,0.370129641,0.8537894031,0.8502037524,0.3994949495
burra,Poincianella_gardneriana,0.094511798,17.2666666667,6.6966666667,5.07,6.9766666667,7.2666666667,0.6333333333,0.4933333333,0.34,0.6,0.9966666667,0.7587369887,0.6736928105,0.4369158926,2.169729488,0.370129641,0.8537894031,0.8502037524,0.3994949495
catanduva,Anadenanthera_colubrina,0.2178521194,19.7666666667,7.0166666667,5.53,7.45,7.9866666667,0.9333333333,0.41,0.2466666667,0.4866666667,0.6166666667,0.7691689914,0.5862864602,0.466908674,1.83704694,0.3520120205,1.1532976827,0.7617628398,0.6305683564
catanduva,Myracrodruon_urundeuva,-0.0400386562,19.7666666667,7.0166666667,5.53,7.45,7.9866666667,0.9333333333,0.41,0.2466666667,0.4866666667,0.6166666667,0.7691689914,0.5862864602,0.466908674,1.83704694,0.3520120205,1.1532976827,0.7617628398,0.6305683564
catanduva,Poincianella_gardneriana,0.2178521194,19.7666666667,7.0166666667,5.53,7.45,7.9866666667,0.9333333333,0.41,0.2466666667,0.4866666667,0.6166666667,0.7691689914,0.5862864602,0.466908674,1.83704694,0.3520120205,1.1532976827,0.7617628398,0.6305683564
catingueira,Anadenanthera_colubrina,-0.0772948878,25.7,15.3866666667,13.4333333333,18.3066666667,18.63,0.3833333333,0.2133333333,0.1633333333,0.2933333333,0.37,0.8796509709,0.7794871795,0.3851337787,1.2668350168,0.3608585698,0.8005050505,0.9376645591,0.6316770186
catingueira,Myracrodruon_urundeuva,-0.0287467894,25.7,15.3866666667,13.4333333333,18.3066666667,18.63,0.3833333333,0.2133333333,0.1633333333,0.2933333333,0.37,0.8796509709,0.7794871795,0.3851337787,1.2668350168,0.3608585698,0.8005050505,0.9376645591,0.6316770186
catingueira,Poincianella_gardneriana,-0.0772948878,25.7,15.3866666667,13.4333333333,18.3066666667,18.63,0.3833333333,0.2133333333,0.1633333333,0.2933333333,0.37,0.8796509709,0.7794871795,0.3851337787,1.2668350168,0.3608585698,0.8005050505,0.9376645591,0.6316770186
cumaru,Anadenanthera_colubrina,-0.008107789,34.8666666667,25.74,15.45,26.8366666667,28.92,1.9,0.52,0.34,0.6266666667,0.72,0.6089206356,0.6703141472,0.8526422333,1.0850202429,0.719885785,0.8232118758,0.8448068136,0.7689031835
cumaru,Myracrodruon_urundeuva,0.0658365492,34.8666666667,25.74,15.45,26.8366666667,28.92,1.9,0.52,0.34,0.6266666667,0.72,0.6089206356,0.6703141472,0.8526422333,1.0850202429,0.719885785,0.8232118758,0.8448068136,0.7689031835
cumaru,Poincianella_gardneriana,-0.008107789,34.8666666667,25.74,15.45,26.8366666667,28.92,1.9,0.52,0.34,0.6266666667,0.72,0.6089206356,0.6703141472,0.8526422333,1.0850202429,0.719885785,0.8232118758,0.8448068136,0.7689031835
favelinha,Anadenanthera_colubrina,0.0802979348,13.9,3.5766666667,3.0233333333,4.15,4.3233333333,0.5,0.1933333333,0.1466666667,0.2166666667,0.33,0.8458210979,0.7827515622,0.4329188266,1.2057416268,0.3728387966,0.4187742082,0.8629649846,0.3315544609
favelinha,Myracrodruon_urundeuva,-0.0186582998,13.9,3.5766666667,3.0233333333,4.15,4.3233333333,0.5,0.1933333333,0.1466666667,0.2166666667,0.33,0.8458210979,0.7827515622,0.4329188266,1.2057416268,0.3728387966,0.4187742082,0.8629649846,0.3315544609
favelinha,Poincianella_gardneriana,0.0802979348,13.9,3.5766666667,3.0233333333,4.15,4.3233333333,0.5,0.1933333333,0.1466666667,0.2166666667,0.33,0.8458210979,0.7827515622,0.4329188266,1.2057416268,0.3728387966,0.4187742082,0.8629649846,0.3315544609
feijao,Anadenanthera_colubrina,0.151901351,20.7,9.0433333333,6.6966666667,10.4933333333,10.9033333333,1.3333333333,0.6866666667,0.3533333333,0.7633333333,0.8766666667,0.7417129325,0.5147763753,0.6299820028,1.4854985267,0.5715091557,1.1723052714,0.9089959478,0.7853351905
feijao,Myracrodruon_urundeuva,-0.0027280288,20.7,9.0433333333,6.6966666667,10.4933333333,10.9033333333,1.3333333333,0.6866666667,0.3533333333,0.7633333333,0.8766666667,0.7417129325,0.5147763753,0.6299820028,1.4854985267,0.5715091557,1.1723052714,0.9089959478,0.7853351905
feijao,Poincianella_gardneriana,0.151901351,20.7,9.0433333333,6.6966666667,10.4933333333,10.9033333333,1.3333333333,0.6866666667,0.3533333333,0.7633333333,0.8766666667,0.7417129325,0.5147763753,0.6299820028,1.4854985267,0.5715091557,1.1723052714,0.9089959478,0.7853351905
imbiratanha,Anadenanthera_colubrina,0.0152561578,27.5,12.2066666667,3.5733333333,9.5,11.02,4.1333333333,1.7933333333,0.7033333333,1.8633333333,2.12,0.2979575163,0.4038040258,2.0490441181,2.0561085973,1.6084209184,1.690925088,0.7859420573,0.8094728638
imbiratanha,Myracrodruon_urundeuva,-0.0116402982,27.5,12.2066666667,3.5733333333,9.5,11.02,4.1333333333,1.7933333333,0.7033333333,1.8633333333,2.12,0.2979575163,0.4038040258,2.0490441181,2.0561085973,1.6084209184,1.690925088,0.7859420573,0.8094728638
imbiratanha,Poincianella_gardneriana,0.0152561578,27.5,12.2066666667,3.5733333333,9.5,11.02,4.1333333333,1.7933333333,0.7033333333,1.8633333333,2.12,0.2979575163,0.4038040258,2.0490441181,2.0561085973,1.6084209184,1.690925088,0.7859420573,0.8094728638
imburana,Anadenanthera_colubrina,-0.0909861884,30.7,14.0333333333,4.93,12.96,14.02,1.1166666667,1.0166666667,0.2866666667,1.0666666667,1.2833333333,0.3320695239,0.3023076923,1.9065638938,3.4477513228,1.6093643372,2.6739417989,0.8437935055,0.7764350007
imburana,Myracrodruon_urundeuva,-0.0529936972,30.7,14.0333333333,4.93,12.96,14.02,1.1166666667,1.0166666667,0.2866666667,1.0666666667,1.2833333333,0.3320695239,0.3023076923,1.9065638938,3.4477513228,1.6093643372,2.6739417989,0.8437935055,0.7764350007
imburana,Poincianella_gardneriana,-0.0909861884,30.7,14.0333333333,4.93,12.96,14.02,1.1166666667,1.0166666667,0.2866666667,1.0666666667,1.2833333333,0.3320695239,0.3023076923,1.9065638938,3.4477513228,1.6093643372,2.6739417989,0.8437935055,0.7764350007
ipe,Anadenanthera_colubrina,-0.0131297784,20.4,11.64,9.35,13.4033333333,13.4933333333,1.9666666667,2.26,1.27,2.6,3.5566666667,0.8309810577,0.5673938696,0.4311289406,1.8261804032,0.4135034483,1.0499576537,0.9580508184,0.5793281985
ipe,Myracrodruon_urundeuva,0.0096117612,20.4,11.64,9.35,13.4033333333,13.4933333333,1.9666666667,2.26,1.27,2.6,3.5566666667,0.8309810577,0.5673938696,0.4311289406,1.8261804032,0.4135034483,1.0499576537,0.9580508184,0.5793281985
ipe,Poincianella_gardneriana,-0.0131297784,20.4,11.64,9.35,13.4033333333,13.4933333333,1.9666666667,2.26,1.27,2.6,3.5566666667,0.8309810577,0.5673938696,0.4311289406,1.8261804032,0.4135034483,1.0499576537,0.9580508184,0.5793281985
jubranca,Anadenanthera_colubrina,0.001844736,21.5666666667,6.71,5.1733333333,6.7633333333,7.7866666667,1.1166666667,0.1366666667,0.0633333333,0.1466666667,0.21,0.7735298908,0.424303233,0.5106444393,3.0576923077,0.3106135974,1.6923076923,0.608016676,0.5755555556
jubranca,Myracrodruon_urundeuva,0.0778280214,21.5666666667,6.71,5.1733333333,6.7633333333,7.7866666667,1.1166666667,0.1366666667,0.0633333333,0.1466666667,0.21,0.7735298908,0.424303233,0.5106444393,3.0576923077,0.3106135974,1.6923076923,0.608016676,0.5755555556
jubranca,Poincianella_gardneriana,0.001844736,21.5666666667,6.71,5.1733333333,6.7633333333,7.7866666667,1.1166666667,0.1366666667,0.0633333333,0.1466666667,0.21,0.7735298908,0.424303233,0.5106444393,3.0576923077,0.3106135974,1.6923076923,0.608016676,0.5755555556
juca,Anadenanthera_colubrina,0.008243528,22.3,8.5833333333,6.7833333333,10.1666666667,10.3033333333,0.6,0.42,0.23,0.4933333333,0.6066666667,0.7777637663,0.5618037392,0.5366825767,1.6464646465,0.5173835201,1.1346801347,0.9631448886,0.6857053416
juca,Myracrodruon_urundeuva,-0.090250888,22.3,8.5833333333,6.7833333333,10.1666666667,10.3033333333,0.6,0.42,0.23,0.4933333333,0.6066666667,0.7777637663,0.5618037392,0.5366825767,1.6464646465,0.5173835201,1.1346801347,0.9631448886,0.6857053416
juca,Poincianella_gardneriana,0.008243528,22.3,8.5833333333,6.7833333333,10.1666666667,10.3033333333,0.6,0.42,0.23,0.4933333333,0.6066666667,0.7777637663,0.5618037392,0.5366825767,1.6464646465,0.5173835201,1.1346801347,0.9631448886,0.6857053416
jupreta,Anadenanthera_colubrina,0.1051893552,24.4666666667,15.9566666667,13.1133333333,18.1366666667,19.1833333333,1.6666666667,0.8933333333,0.56,0.9133333333,1.1466666667,0.8070977939,0.6389377289,0.482739372,1.1653870916,0.380075697,0.7378842749,0.7963383784,0.6299790356
jupreta,Myracrodruon_urundeuva,-0.0067599272,24.4666666667,15.9566666667,13.1133333333,18.1366666667,19.1833333333,1.6666666667,0.8933333333,0.56,0.9133333333,1.1466666667,0.8070977939,0.6389377289,0.482739372,1.1653870916,0.380075697,0.7378842749,0.7963383784,0.6299790356
jupreta,Poincianella_gardneriana,0.1051893552,24.4666666667,15.9566666667,13.1133333333,18.1366666667,19.1833333333,1.6666666667,0.8933333333,0.56,0.9133333333,1.1466666667,0.8070977939,0.6389377289,0.482739372,1.1653870916,0.380075697,0.7378842749,0.7963383784,0.6299790356
marmeleiro,Anadenanthera_colubrina,-0.004074999,17.5666666667,4.3366666667,3.1,4.0866666667,4.4566666667,0.7,0.4566666667,0.3466666667,0.5766666667,0.78,0.7354906493,0.7564102564,0.428952307,1.1984313725,0.3102439656,0.6578431373,0.7234885119,0.5526143791
marmeleiro,Myracrodruon_urundeuva,0.1850113744,17.5666666667,4.3366666667,3.1,4.0866666667,4.4566666667,0.7,0.4566666667,0.3466666667,0.5766666667,0.78,0.7354906493,0.7564102564,0.428952307,1.1984313725,0.3102439656,0.6578431373,0.7234885119,0.5526143791
marmeleiro,Poincianella_gardneriana,-0.004074999,17.5666666667,4.3366666667,3.1,4.0866666667,4.4566666667,0.7,0.4566666667,0.3466666667,0.5766666667,0.78,0.7354906493,0.7564102564,0.428952307,1.1984313725,0.3102439656,0.6578431373,0.7234885119,0.5526143791
mofumbo,Anadenanthera_colubrina,0.0616171886,18.3,4.2966666667,3.2933333333,4.6433333333,5.1066666667,0.6333333333,0.2266666667,0.1466666667,0.25,0.3566666667,0.7547591533,0.6497516192,0.5759186261,1.4785714286,0.4212958871,0.7428571429,0.736673245,0.487654321
mofumbo,Myracrodruon_urundeuva,0.0455209494,18.3,4.2966666667,3.2933333333,4.6433333333,5.1066666667,0.6333333333,0.2266666667,0.1466666667,0.25,0.3566666667,0.7547591533,0.6497516192,0.5759186261,1.4785714286,0.4212958871,0.7428571429,0.736673245,0.487654321
mofumbo,Poincianella_gardneriana,0.0616171886,18.3,4.2966666667,3.2933333333,4.6433333333,5.1066666667,0.6333333333,0.2266666667,0.1466666667,0.25,0.3566666667,0.7547591533,0.6497516192,0.5759186261,1.4785714286,0.4212958871,0.7428571429,0.736673245,0.487654321
mororo,Anadenanthera_colubrina,0.0355555106,20.1666666667,7.3966666667,5.84,7.6233333333,8.2,0.8833333333,0.6033333333,0.39,0.6166666667,1.0366666667,0.792329861,0.6993413868,0.4163678835,1.628403576,0.3047844495,0.5122605364,0.7350280852,0.31242741
mororo,Myracrodruon_urundeuva,-0.0275120926,20.1666666667,7.3966666667,5.84,7.6233333333,8.2,0.8833333333,0.6033333333,0.39,0.6166666667,1.0366666667,0.792329861,0.6993413868,0.4163678835,1.628403576,0.3047844495,0.5122605364,0.7350280852,0.31242741
mororo,Poincianella_gardneriana,0.0355555106,20.1666666667,7.3966666667,5.84,7.6233333333,8.2,0.8833333333,0.6033333333,0.39,0.6166666667,1.0366666667,0.792329861,0.6993413868,0.4163678835,1.628403576,0.3047844495,0.5122605364,0.7350280852,0.31242741
paubranco,Anadenanthera_colubrina,-0.036401108,30.6333333333,12.22,7.9033333333,11.1633333333,12.07,1.5666666667,0.52,0.3233333333,0.5533333333,0.9066666667,0.6482248677,0.613703447,0.5294714797,1.8509009009,0.4131684213,0.7252252252,0.7820400348,0.3925925926
paubranco,Myracrodruon_urundeuva,-0.0534248994,30.6333333333,12.22,7.9033333333,11.1633333333,12.07,1.5666666667,0.52,0.3233333333,0.5533333333,0.9066666667,0.6482248677,0.613703447,0.5294714797,1.8509009009,0.4131684213,0.7252252252,0.7820400348,0.3925925926
paubranco,Poincianella_gardneriana,-0.036401108,30.6333333333,12.22,7.9033333333,11.1633333333,12.07,1.5666666667,0.52,0.3233333333,0.5533333333,0.9066666667,0.6482248677,0.613703447,0.5294714797,1.8509009009,0.4131684213,0.7252252252,0.7820400348,0.3925925926
pereiro,Anadenanthera_colubrina,0.1692652196,21.8333333333,10.0366666667,6.45,9.36,9.8266666667,2.0166666667,0.8066666667,0.4733333333,0.98,1.2133333333,0.6911225934,0.5700396825,0.4945912362,1.623380204,0.4317313051,1.1401831939,0.8742894678,0.6940553999
pereiro,Myracrodruon_urundeuva,0.079559358,21.8333333333,10.0366666667,6.45,9.36,9.8266666667,2.0166666667,0.8066666667,0.4733333333,0.98,1.2133333333,0.6911225934,0.5700396825,0.4945912362,1.623380204,0.4317313051,1.1401831939,0.8742894678,0.6940553999
pereiro,Poincianella_gardneriana,0.1692652196,21.8333333333,10.0366666667,6.45,9.36,9.8266666667,2.0166666667,0.8066666667,0.4733333333,0.98,1.2133333333,0.6911225934,0.5700396825,0.4945912362,1.623380204,0.4317313051,1.1401831939,0.8742894678,0.6940553999
umbu,Anadenanthera_colubrina,0.060467124,25.9666666667,10.2666666667,5.61,10.91,11.0766666667,2.4166666667,1.5066666667,0.5166666667,1.6633333333,1.9933333333,0.5773910883,0.3419327133,0.9174313606,2.884459203,0.8872462368,2.2813851992,0.9673954033,0.78999388
umbu,Myracrodruon_urundeuva,-0.0380068804,25.9666666667,10.2666666667,5.61,10.91,11.0766666667,2.4166666667,1.5066666667,0.5166666667,1.6633333333,1.9933333333,0.5773910883,0.3419327133,0.9174313606,2.884459203,0.8872462368,2.2813851992,0.9673954033,0.78999388
umbu,Poincianella_gardneriana,0.060467124,25.9666666667,10.2666666667,5.61,10.91,11.0766666667,2.4166666667,1.5066666667,0.5166666667,1.6633333333,1.9933333333,0.5773910883,0.3419327133,0.9174313606,2.884459203,0.8872462368,2.2813851992,0.9673954033,0.78999388
