"","especie","Mdiam_mad","Mvol_mad","Mpseco_mad","Mpeso_fresco_mad","Mpeso_sat_mad","Mthick_casca","Mvol_casca","Mpeso_seco_casca","Mpeso_fresco_casca","Mpeso_sat_casca","Mdens_mad","Mdens_casca","Mcap_arm_mad","Mcap_arm_casca","Mcont_agua_mad","Mcont_agua_casca","Mefet_agua_mad","Mefet_agua_casca"
"1","algodao",18.0333333333333,5.53333333333333,1.90666666666667,3.9,4.70666666666667,2.23333333333333,1.33333333333333,0.503333333333333,1.4,1.69666666666667,0.352491255936337,0.376190476190476,1.50009921821363,2.39550264550265,1.06766475464901,1.78835978835979,0.718072906020882,0.739806771433659
"2","angico",19.1,4.92666666666667,3.96666666666667,5.31333333333333,6.12,1.16666666666667,0.59,0.44,0.736666666666667,0.93,0.804514666056611,0.747655122655123,0.552022508186892,1.12984248616433,0.336432821364328,0.674077549282804,0.621872149217048,0.597517860190671
"3","burra",17.2666666666667,6.69666666666667,5.07,6.97666666666667,7.26666666666667,0.633333333333333,0.493333333333333,0.34,0.6,0.996666666666667,0.758736988719944,0.673692810457516,0.436915892572388,2.16972948803935,0.370129640995418,0.853789403085178,0.850203752363709,0.39949494949495
"4","catanduva",19.7666666666667,7.01666666666667,5.53,7.45,7.98666666666667,0.933333333333333,0.41,0.246666666666667,0.486666666666667,0.616666666666667,0.769168991381759,0.586286460200583,0.466908674020743,1.83704693998812,0.352012020546503,1.15329768270945,0.761762839778268,0.630568356374808
"5","catingueira",25.7,15.3866666666667,13.4333333333333,18.3066666666667,18.63,0.383333333333333,0.213333333333333,0.163333333333333,0.293333333333333,0.37,0.879650970899146,0.779487179487179,0.385133778717816,1.26683501683502,0.360858569795674,0.80050505050505,0.937664559098575,0.63167701863354
"6","cumaru",34.8666666666667,25.74,15.45,26.8366666666667,28.92,1.9,0.52,0.34,0.626666666666667,0.72,0.60892063561081,0.670314147164242,0.852642233296151,1.08502024291498,0.719885784955623,0.823211875843455,0.844806813635058,0.76890318353733
"7","favelinha",13.9,3.57666666666667,3.02333333333333,4.15,4.32333333333333,0.5,0.193333333333333,0.146666666666667,0.216666666666667,0.33,0.845821097928314,0.782751562163327,0.432918826567263,1.20574162679426,0.372838796566231,0.418774208247892,0.862964984550702,0.331554460864806
"8","feijao",20.7,9.04333333333333,6.69666666666667,10.4933333333333,10.9033333333333,1.33333333333333,0.686666666666667,0.353333333333333,0.763333333333333,0.876666666666667,0.741712932524898,0.514776375253234,0.629982002809838,1.48549852671202,0.57150915568518,1.17230527143981,0.908995947775334,0.785335190542519
"9","imbiratanha",27.5,12.2066666666667,3.57333333333333,9.5,11.02,4.13333333333333,1.79333333333333,0.703333333333333,1.86333333333333,2.12,0.297957516339869,0.403804025797924,2.04904411814074,2.05610859728507,1.60842091835022,1.69092508798391,0.785942057252044,0.809472863787642
"10","imburana",30.7,14.0333333333333,4.93,12.96,14.02,1.11666666666667,1.01666666666667,0.286666666666667,1.06666666666667,1.28333333333333,0.332069523861501,0.302307692307692,1.90656389377019,3.44775132275132,1.60936433716095,2.6739417989418,0.843793505482656,0.776435000737789
"11","ipe",20.4,11.64,9.35,13.4033333333333,13.4933333333333,1.96666666666667,2.26,1.27,2.6,3.55666666666667,0.830981057659299,0.567393869624121,0.431128940589427,1.82618040324868,0.41350344833396,1.04995765369511,0.95805081840805,0.579328198491378
"12","jubranca",21.5666666666667,6.71,5.17333333333333,6.76333333333333,7.78666666666667,1.11666666666667,0.136666666666667,0.0633333333333333,0.146666666666667,0.21,0.773529890768688,0.424303232998885,0.510644439348048,3.05769230769231,0.310613597361824,1.69230769230769,0.608016675971707,0.575555555555556
"13","juca",22.3,8.58333333333333,6.78333333333333,10.1666666666667,10.3033333333333,0.6,0.42,0.23,0.493333333333333,0.606666666666667,0.777763766260143,0.561803739223094,0.536682576707289,1.64646464646465,0.517383520127466,1.13468013468013,0.963144888593391,0.685705341643188
"14","jupreta",24.4666666666667,15.9566666666667,13.1133333333333,18.1366666666667,19.1833333333333,1.66666666666667,0.893333333333333,0.56,0.913333333333333,1.14666666666667,0.807097793908967,0.638937728937729,0.48273937198839,1.16538709158217,0.380075697035963,0.737884274907452,0.79633837843536,0.629979035639413
"15","marmeleiro",17.5666666666667,4.33666666666667,3.1,4.08666666666667,4.45666666666667,0.7,0.456666666666667,0.346666666666667,0.576666666666667,0.78,0.735490649320369,0.756410256410256,0.428952306995405,1.19843137254902,0.310243965573028,0.657843137254902,0.723488511946831,0.552614379084967
"16","mofumbo",18.3,4.29666666666667,3.29333333333333,4.64333333333333,5.10666666666667,0.633333333333333,0.226666666666667,0.146666666666667,0.25,0.356666666666667,0.754759153276102,0.649751619191348,0.575918626128386,1.47857142857143,0.421295887081489,0.742857142857143,0.736673244974413,0.487654320987654
"17","mororo",20.1666666666667,7.39666666666667,5.84,7.62333333333333,8.2,0.883333333333333,0.603333333333333,0.39,0.616666666666667,1.03666666666667,0.792329860995629,0.699341386841387,0.416367883457951,1.62840357598978,0.30478444945092,0.512260536398468,0.73502808519843,0.312427409988386
"18","paubranco",30.6333333333333,12.22,7.90333333333333,11.1633333333333,12.07,1.56666666666667,0.52,0.323333333333333,0.553333333333333,0.906666666666667,0.648224867674571,0.61370344703678,0.529471479688777,1.8509009009009,0.413168421328197,0.725225225225225,0.782040034758888,0.392592592592593
"19","pereiro",21.8333333333333,10.0366666666667,6.45,9.36,9.82666666666667,2.01666666666667,0.806666666666667,0.473333333333333,0.98,1.21333333333333,0.691122593396712,0.570039682539683,0.494591236240061,1.62338020402537,0.431731305075135,1.14018319394663,0.874289467777821,0.694055399937753
"20","umbu",25.9666666666667,10.2666666666667,5.61,10.91,11.0766666666667,2.41666666666667,1.50666666666667,0.516666666666667,1.66333333333333,1.99333333333333,0.577391088303635,0.341932713271989,0.917431360626782,2.88445920303605,0.887246236799207,2.28138519924099,0.967395403312558,0.78999388004896
