ID,especie,angico.a,aroeira.a,cating.a,angico.f,aroeira.f,cating.f,H_arvore,H_copa ,diam_copa,dens_mad,dens_casca,cap_arm_mad,cap_arm_casca,efet_agua_mad,efet_agua_casca,thick_casca
20,jupreta,0.6359109564,0.0105214411,0.3561168547,0.6423611111,0.0404700989,0.25,5.5,3.5,6.4,0.7783783784,0.6785714286,0.5538194444,1.4736842105,0.6739811912,0.6428571429,1.25
21,catingueira,0.4790123487,0.0336529607,-0.1166682275,0.4277950311,-0.1666666667,-0.0736350575,4,2,5.25,0.8257497415,0.6923076923,0.3938634941,1.2777777778,0.9713831479,0.652173913,0.5
22,jupreta,-0.1444647374,0.0489766805,0.4378206228,0.1833865915,-0.0781899881,0.3879960318,6,4.5,6.9,0.8344910903,0.6228571429,0.447339848,0.9724770642,0.8616504854,0.5566037736,2.4
24,feijao,0.445470259,0.5029407546,0.1909846547,0.5285714286,0.3248626374,0.1270292208,4,2,4.3,0.7396449704,0.5466666667,0.6125714286,1.487804878,0.8787313433,0.737704918,1.75
27,imbiratanha,0.0966195444,-0.032727151,0.0359709248,0.0964513557,-0.016728709,-0.2029448622,7.5,5.5,5.45,0.3125,0.3266331658,1.9136842105,2.5076923077,0.8481848185,0.8895705521,5
28,paubranco,-0.4179137702,0.1715469701,-0.0496231813,-0.566983017,-0.0207954402,0.189295977,6.5,5,3,0.6331360947,0.6153846154,0.5560747664,1.75,0.7773109244,0.4,1.65
32,umbu,-0.0506794301,-0.1809009958,-0.0334352924,0.0797317115,0.206844846,0.1375,7.5,6.5,18.5,0.5957446809,0.3246753247,0.9107142857,3.04,0.9509803922,0.8421052632,2.05
34,ipe,-0.2144183253,-0.073138962,-0.1542291292,0.0887820513,0.1021825397,0.0233100233,6,5.5,6,0.7868248773,0.49609375,0.4524180967,1.8818897638,0.9931034483,0.6694560669,1.5
35,catingueira,0.2073780214,-0.1928165776,-0.1257553045,0.0291872211,-0.061999293,-0.1391098485,2.5,1.1,4.65,0.9005751849,0.8,0.3658759124,1.25,0.9625935162,0.6,0.3
43,catanduva,0.0434875509,0.1568662452,-0.0785666049,0.2581145902,-0.1859440267,0.2202380953,4,2.5,3.2,0.7285464098,0.7058823529,0.5216346154,1.75,0.6820276498,0.5714285714,0.95
46,jubranca,0.1128067411,0.1049852546,-0.0730041246,0.0245535714,0.0940476191,0.1636793123,6,4,3.25,0.8179723502,0.4,0.5211267606,5,0.6540540541,0.5,0.55
48,marmeleiro,-0.70195462,0.0715398293,-0.035210084,-0.7054112554,0.0569917583,-0.1294642857,3,2,3.2,0.6880108992,0.7692307692,0.4594059406,1,0.7284482759,0.55,0.95
51,marmeleiro,0.0894931771,0.9007936508,0.0773863965,-0.2698074323,0.875,-0.0120879121,3.5,3,2.2,0.7203389831,0.6666666667,0.4039215686,1.2352941176,0.7475728155,0.6666666667,0.6
52,paubranco,0.4603686115,-0.1330011541,0.383870962,0.45,-0.1987442922,0.1746635611,6,4,3.4,0.6478658537,0.5405405405,0.4729411765,2.1,0.8134328358,0.380952381,1.5
53,cumaru,0.4439483727,-0.0336834016,0.0600991533,0.5118142206,-0.1970261438,-0.218627451,11,8.5,11.15,0.5780487805,0.6129032258,0.9316455696,1.3684210526,0.8428442029,0.6923076923,2.35
56,jubranca,-0.2103225634,0.2532844817,-0.1106937492,-0.0083333333,0.4831486043,0,5.5,4.5,8.1,0.7640728477,0.5652173913,0.4962080173,1.9230769231,0.6026200873,0.56,1.7
57,imburana,-0.1068963444,-0.085397016,0.050008832,0.1645768834,0.10703125,-0.266857349,3.5,2,2.5,0.3464052288,0.35,1.5660377358,2.5714285714,0.7951807229,0.7777777778,0.6
58,angico,0.0039497704,-0.0110325729,-0.0299130655,-0.4592090428,0.0846726191,-0.016504329,4,2,3.35,0.8711217184,0.7012987013,0.4904109589,1.1481481481,0.6368715084,0.6451612903,0.85
60,mofumbo,-0.3353649008,0.6578047264,-0.2273960535,-0.4683198381,0.566576087,-0.0243506494,2,1,2.4,0.7062146893,0.7777777778,0.656,1.2857142857,0.6585365854,0.3333333333,0.25
61,marmeleiro,0.5295516304,0.1288577168,0.1566260563,0.34326373,0.2553429027,0.1626990241,2.5,2,2.55,0.7981220657,0.8333333333,0.4235294118,1.36,0.6944444444,0.4411764706,0.55
62,mofumbo,0.5371733024,0.0725715003,0.2584956949,0.9244949495,0.1268298368,-0.0888480392,3.5,2.5,3.65,0.7648809524,0.5263157895,0.53307393,1.8,0.6897810219,0.6111111111,0.7
68,jubranca,0.0279081797,-0.0193828992,0.4376480656,0.073489011,0.2232634033,0.2345238095,7.5,6,5.4,0.7385444744,0.3076923077,0.5145985401,2.25,0.5673758865,0.6666666667,1.1
69,mororo,0.0506138563,0.0530437015,0.0825262553,0.0475284942,0.0271202883,0.119073726,3.5,2.5,5.5,0.7888067582,0.6756756757,0.4029451138,1.64,0.7740863787,0.3658536585,1.9
73,imbiratanha,0.1799112871,0.2278446429,0.0094126081,-0.0116224355,0.275,0.523538961,4.5,2.5,2.5,0.318627451,0.5306122449,1.8205128205,1.3076923077,0.7436619718,0.7450980392,3.65
75,feijao,0.1238108799,-0.0072507351,0.1422527998,0.2385416667,-0.2899277689,0.3361111111,3,2,2.35,0.7160493827,0.4492753623,0.7051724138,1.6451612903,0.8924205379,0.862745098,1.2
76,imburana,0.5703781513,-0.4744732678,0.2389757099,0.6976495727,-0.4755411255,-0.3035587639,7.5,5,5.3,0.3675847458,0.2769230769,1.8357348703,3.4861111111,0.9157509158,0.7848605578,1.8
78,imbiratanha,-0.1404520747,-0.1071893042,0.1177748506,0.1441129194,-0.3991071429,0.1166125541,6,4,3.95,0.262745098,0.3541666667,2.4129353234,2.3529411765,0.7659793814,0.79375,3.75
79,mororo,0.1037545985,0.0241782533,0.3854622962,0.4041666667,-0.0137156271,0.3854166667,5.5,3.5,2.7,0.7874015748,0.6041666667,0.3925,1.6896551724,0.7643312102,0.3571428571,0.45
88,burra,0.2180805708,-0.0439689004,0.2846963423,-0.082759042,0.0748160173,-0.0069444444,3,2,2,0.7580645161,0.7,0.4680851064,2.619047619,0.7727272727,0.3272727273,0.3
93,mororo,0.4324022891,-0.0498118792,0.2823567306,0.468115942,0.1707633053,0.0019016698,3.5,2,2.75,0.80078125,0.8181818182,0.4536585366,1.5555555556,0.6666666667,0.2142857143,0.3
95,catingueira,0.0581776433,0.0084266076,-0.013413506,0.0249734922,0.2072222222,0.1041666667,6.5,4.5,7.75,0.9126279863,0.8461538462,0.3956619297,1.2727272727,0.8790170132,0.6428571429,0.35
97,cumaru,-0.1327916053,0.1290044828,0.1683522819,0.1692835366,0.309570802,0.2952380953,5.2,3,8.1,0.6313497823,0.6333333333,0.7877394636,1.0789473684,0.8667315175,0.8048780488,1.65
101,pereiro,0.4153871699,-0.362113797,-0.0019713913,0.5663377193,-0.2770206767,-0.1446969697,7.5,5.5,6.1,0.6124273581,0.6458333333,0.5459854015,1.7419354839,0.8542780749,0.6666666667,2.7
102,burra,-0.0167969052,-0.0266936787,0.1015896749,0.1355873421,-0.0694853572,0.5160714286,4,3.5,3.55,0.7490310078,0.625,0.4489003881,2.2,0.8818443804,0.4545454545,0.75
108,catanduva,0.1967514383,0.0527440998,0.0835218094,0.0443753344,-0.3170383987,-0.1452850877,7.5,6,5.05,0.7429245283,0.4074074074,0.4825396825,2.5454545455,0.75,0.6428571429,0.45
110,paubranco,0.6750984582,0.0332026118,0.4338184763,0.4557372291,-0.1044156567,0.4375,4.5,3.5,2.4,0.6636726547,0.6851851852,0.5593984962,1.7027027027,0.7553763441,0.3968253968,1.55
111,angico,0.1415118198,-0.0998058712,-0.3204797941,0.008211927,-0.1975877193,0.0016666667,3.4,1.7,2.65,0.6875,0.725,0.6666666667,1.2413793103,0.5,0.5555555556,0.9
113,algodao,0.4684598735,-0.2944348703,-0.221437846,-0.0373484849,-0.3509359903,-0.1753913894,7,5,4.8,0.3264150943,0.35,1.5317919075,2.6507936508,0.8188679245,0.8203592814,2.15
115,umbu,-0.1151437903,-0.1507015972,0.0676508341,0.1748724796,-0.2666737867,0.2083333333,6.5,6.5,14.95,0.6296928328,0.3803680982,0.7669376694,2.4516129032,0.9787985866,0.7697368421,2.05
118,ipe,-0.0377888666,-0.0329743442,0.0593253968,0.2005775577,-0.1122453151,-0.0505952381,4.5,4.5,5,0.8116591928,0.6101694915,0.4309392265,2.0555555556,0.952991453,0.472972973,1.95
119,mofumbo,-0.2152315304,0.108358935,0.4156028369,-0.0675647882,0.1095725578,0.3511904762,5,4,3.6,0.7931818182,0.6451612903,0.5386819484,1.35,0.8617021277,0.5185185185,0.95
124,favelinha,0.7061634583,0.0550331593,-0.0171805262,0.6071428571,-0.2365460526,0.0235603544,3.5,3,3.235,0.8407079646,0.6785714286,0.4,1.5263157895,0.9078947368,0.4827586207,0.6
125,jupreta,0.7051371624,-0.006039916,0.0424347905,0.6833600427,-0.1614748677,-0.0166666667,4,2,6.75,0.808423913,0.6153846154,0.4470588235,1.05,0.8533834586,0.6904761905,1.35
128,burra,0.0508881609,0.0646693494,0.1351648352,0.3917366947,0.0274778844,0.1336659664,5,4,3.9,0.7691154423,0.6960784314,0.3937621832,1.6901408451,0.896039604,0.4166666667,0.85
129,pereiro,0.1594929376,-0.0326373421,0.5624281778,0.5581699346,0.1634704969,0.3368055556,8,7,4.4,0.7578947368,0.6,0.4756944444,1.1666666667,0.8467153285,0.6507936508,1.55
130,juca,0.0952307586,-0.1335533639,-0.1735910114,0.2378393665,-0.160954583,-0.1366883117,4.5,4.5,7.85,0.7896103896,0.5322580645,0.4638157895,1.6060606061,0.9645390071,0.7358490566,0.55
131,catanduva,0.0653618125,-0.0848104442,0.0039711733,0.0651271999,-0.2920075324,-0.0351351351,9,8,7.55,0.836036036,0.6455696203,0.3965517241,1.2156862745,0.8532608696,0.6774193548,1.4
132,ipe,0.4882041875,0.0436418932,0.1332426346,0.5305944056,0.1851261444,0.0474358974,6,6,6.55,0.8944591029,0.5959183673,0.4100294985,1.5410958904,0.928057554,0.5955555556,2.45
134,feijao,0.0803311542,0.031788753,0.3026570049,0.0039432789,0.1693370036,0.0222222222,3.5,1.5,4.15,0.7694444444,0.5483870968,0.5722021661,1.3235294118,0.9558359621,0.7555555556,1.05
136,juca,0.2906483451,-0.1276438332,0.1660744182,0.3737179487,-0.1506168831,0.2239357865,4.6,3.1,8.95,0.7117552335,0.4864864865,0.6538461538,1.8888888889,0.9723183391,0.7058823529,1
143,umbu,0.0922207275,0.1094834016,0.0219018031,0.3583065485,0.0422031742,0.1872023809,9,8,14.9,0.5067357513,0.320754717,1.0746421268,3.1617647059,0.9724072312,0.7581395349,3.15
144,angico,0.2235511146,0.0204688832,0.1562399782,0.1296783626,-0.0741937229,0.2895652958,10,9,12,0.8549222798,0.8166666667,0.498989899,1,0.7287449393,0.5918367347,1.75
145,juca,0.4981429303,0.0967761489,-0.0681796757,0.4687728938,-0.1117784993,-0.4041369048,4.5,2.5,6.15,0.8319256757,0.6666666667,0.4923857868,1.4444444444,0.9525773196,0.6153846154,0.25
147,pereiro,0.1038788459,0.1216870599,-0.2488279478,-0.3919232983,0.1713342557,-0.0584608844,5,3.5,8.1,0.7030456853,0.4642857143,0.4620938628,1.9615384615,0.921875,0.7647058824,1.8
149,cumaru,0.7004926971,0.0495953281,-0.1062725667,0.5411820636,0.3423505239,0.1904761905,4.5,3,5.4,0.6173633441,0.7647058824,0.8385416667,0.8076923077,0.8248447205,0.8095238095,1.7
151,imburana,0.063800914,0.0961552022,0.2789868522,0.0698781291,0.1606295878,0.2366828087,4,3,4.2,0.2822185971,0.28,2.3179190751,4.2857142857,0.8204488778,0.7666666667,0.95
154,favelinha,-0.0636554622,0.142088301,0.032400972,0.0070866633,0.0949699416,0.2756696429,5.5,4,0.74,0.850877193,0.8461538462,0.470790378,1.0909090909,0.8394160584,0.0833333333,0.45
155,favelinha,0.2408989171,0.0236157353,0.0729733137,0.2790404041,0.0045469024,0.2676144877,6.5,2,1.5,0.8458781362,0.8235294118,0.4279661017,1,0.8415841584,0.4285714286,0.45
156,algodao,-0.0542081818,-0.1253783102,-0.0908849826,0.2538832754,-0.0826388889,0,7,5,5,0.271875,0.4285714286,1.8218390805,2,0.61829653,0.6666666667,2
157,algodao,0.3472356464,-0.0266250919,-0.1741067895,0.3762626263,0.050589364,0.120395328,6,4,4.35,0.4591836735,0.35,1.1466666667,2.5357142857,0.7170542636,0.7323943662,2.55
